human_time,computer_time,x1,y1,z1,x2,y2,z2
2021-05-16 02:19:45.496616,1621120785.4966161,-3.650226617414216,-0.5400196083965658,-178.6538902898755,-9.150051326824755,-41.12597429431804,176.5362730191442
2021-05-16 02:19:45.607682,1621120785.6076827,-3.7332432641075317,-0.6347772937998913,-178.64577113335122,-9.199475448069443,-41.107928348491406,176.59380850447766
2021-05-16 02:19:45.718487,1621120785.7184875,-3.7859301417543265,-0.6747056439190837,-178.63413492722964,-9.227962609073519,-40.93404389000511,176.6661184205056
2021-05-16 02:19:45.829508,1621120785.8295088,-3.7311895124766603,-0.5196701945934712,-178.62370884054224,-9.126038561719415,-40.904873236712156,176.712201430973
2021-05-16 02:19:45.940329,1621120785.9403296,-3.687700426129026,-0.4882980507141305,-178.49934016198208,-8.999992481496864,-40.90934152468187,176.75110551435588
2021-05-16 02:19:46.041092,1621120786.0410922,-3.6816910609036984,-0.520258935545728,-178.37166455333505,-8.926447603310512,-41.051837472754904,176.77968153111004
2021-05-16 02:19:46.150404,1621120786.1504047,-3.7772032577810335,-0.579999687329124,-178.36123147199376,-9.002688558307081,-40.932956881343365,176.84016391591757
2021-05-16 02:19:46.259756,1621120786.2597563,-3.69946102566502,-0.6819408715347238,-178.23795057332524,-8.907674960229858,-40.968266605479556,176.8727159601029
2021-05-16 02:19:46.382961,1621120786.382961,-3.6500038898693172,-0.5523134076479046,-178.1071590631937,-8.849835061349662,-41.07440870224405,176.90914707521014
2021-05-16 02:19:46.481990,1621120786.48199,-3.605164400921148,-0.5194716040112906,-178.09729247125853,-8.769859177344616,-41.190931953989136,176.94374632038702
2021-05-16 02:19:46.591343,1621120786.5913436,-3.593439478763442,-0.4655810621238446,-178.08612400385817,-8.701513614300495,-41.29099572268484,176.9820153204525
2021-05-16 02:19:46.716225,1621120786.7162259,-3.4243105605054214,-0.40494655016663955,-178.0739790114488,-8.632105954522627,-41.46973271810159,176.90788910860113
2021-05-16 02:19:46.825467,1621120786.8254669,-3.428121529122029,-0.39553264265134513,-177.95105289301225,-8.604195513249948,-41.612420050706596,176.84110098552372
2021-05-16 02:19:46.936999,1621120786.937,-3.4179803671476794,-0.2596830245241657,-177.942061517535,-8.560325298974877,-41.75456239416741,176.7745161621712
2021-05-16 02:19:47.048160,1621120787.04816,-3.5248984385795987,-0.2471528875408782,-177.9339327106062,-8.675061089043604,-41.62056495061288,176.74040163793046
2021-05-16 02:19:47.157627,1621120787.1576276,-3.500745759417561,-0.3489177878272074,-177.8109421035241,-8.641134732717616,-41.47916981866059,176.81083755706103
2021-05-16 02:19:47.266999,1621120787.2669995,-3.4556487642950824,-0.2949999005195338,-177.79999641418252,-8.606656137524979,-41.52568748167183,176.86039758152052
2021-05-16 02:19:47.376250,1621120787.3762505,-3.433668089832289,-0.2864654305516099,-177.7918378856194,-8.57525152762578,-41.58458881102305,176.9075814124719
2021-05-16 02:19:47.485919,1621120787.485919,-3.5006050722562603,-0.36734540220214423,-177.782504215049,-8.686573211380535,-41.50923137436228,176.8616978850691
2021-05-16 02:19:47.595307,1621120787.5953078,-3.4524249822875266,-0.33983958969069367,-177.77315035787834,-8.618582939998193,-41.57300274161594,176.90791783128228
2021-05-16 02:19:47.704615,1621120787.704615,-3.401030886597524,-0.3499793644088945,-177.65148558097624,-8.57598122027958,-41.64537988296709,176.95253771320216
2021-05-16 02:19:47.813993,1621120787.8139935,-3.3328720186113125,-0.3115864285213662,-177.64151478798038,-8.665587263267438,-41.57937308091509,176.90463752947952
2021-05-16 02:19:47.921013,1621120787.921014,-3.2984387514604743,-0.31509533735324174,-177.74859369970002,-8.750539608454623,-41.643129594486496,176.84809499535464
2021-05-16 02:19:48.034283,1621120788.034283,-3.2900983081582993,-0.2547311678793596,-177.73737869647363,-8.808167286427615,-41.551842653791326,176.9200721781571
2021-05-16 02:19:48.143715,1621120788.1437154,-3.3909130954720226,-0.3598711288651619,-177.84406694582208,-8.841764469636443,-41.485865584096295,176.87238738889945
2021-05-16 02:19:48.253104,1621120788.2531052,-3.499095987628201,-0.4219651028057389,-177.833719375116,-8.732923901678776,-41.40725360514136,177.04424671381653
2021-05-16 02:19:48.377881,1621120788.3778818,-3.563129554332223,-0.4829659675633735,-177.93788986056418,-8.793016490281058,-41.402545867280146,177.09864438458126
2021-05-16 02:19:48.488999,1621120788.4889994,-3.609639903740264,-0.5573925364678057,-177.92833780838527,-8.670219615483687,-41.39695242343277,177.25520354691676
2021-05-16 02:19:48.599402,1621120788.599403,-3.5476345276912378,-0.5098661659730969,-177.80297952934748,-8.578278285675957,-41.49763397767105,177.2941232459117
2021-05-16 02:19:48.708903,1621120788.7089038,-3.5834212377586723,-0.5480875101836261,-177.79118644746555,-8.603063135529005,-41.32993401837579,177.36291672057598
2021-05-16 02:19:48.818185,1621120788.818185,-3.6569302852186834,-0.5100150583094419,-177.78179974153016,-8.634717623517439,-41.29796964417348,177.4228703428413
2021-05-16 02:19:48.927452,1621120788.9274518,-3.583175158638374,-0.4306368884137742,-177.76905285531865,-8.51895053381842,-41.3827896761197,177.4649839914734
2021-05-16 02:19:49.043919,1621120789.0439193,-3.559447899972357,-0.37321899167082245,-177.7577751952209,-8.402568738948665,-41.369596396222946,177.50834487515576
2021-05-16 02:19:49.148287,1621120789.1482878,-3.5422988218899967,-0.3463619608518961,-177.6338620637681,-8.317883882363542,-41.46191923294733,177.5492330863903
2021-05-16 02:19:49.257819,1621120789.2578194,-3.4863316554823798,-0.29571656153460163,-177.50852913208163,-8.242622052625185,-41.533263168902884,177.59443624227296
