human_time,computer_time,x1,y1,z1,x2,y2,z2
2021-05-16 11:39:58.885581,1621154398.885581,-3.6915828156938275,-6.125915410998075,-179.23897363727284,-2.9190626906036368,14.136873224856934,-178.30582670448356
2021-05-16 11:39:58.996495,1621154398.996495,-3.7402322341024097,-6.280872185524456,-179.1517286412592,-3.041222855626369,14.162569605041996,-178.17292921788462
2021-05-16 11:39:59.107054,1621154399.1070547,-3.8354404918767764,-6.204244992585733,-179.1714486696247,-3.100116884248537,14.074571116916399,-178.15543072268022
2021-05-16 11:39:59.217898,1621154399.217899,-3.9043416149000474,-6.144038990817144,-179.3065742095659,-3.048051978108874,14.12666577469771,-178.50846452515177
2021-05-16 11:39:59.328862,1621154399.3288627,-3.7534451582532355,-5.964977838587486,-179.54393401764673,-2.7876618151151162,14.453656922601278,-179.00210052097967
2021-05-16 11:39:59.439583,1621154399.4395833,-3.6186535203009567,-5.960912482922221,-179.556471576193,-2.7488374230090793,14.592263129464733,-178.8977922917765
2021-05-16 11:39:59.550711,1621154399.5507119,-3.5981536152931928,-5.829921779945962,-179.33941531684064,-2.761301388380087,14.676093664612955,-178.68144750178814
2021-05-16 11:39:59.661557,1621154399.6615572,-3.620297229668599,-5.833283924526813,-179.2382717787519,-2.7013128961790476,14.682328560779215,-178.72318047929096
2021-05-16 11:39:59.772536,1621154399.772536,-3.586656678163787,-5.788310019679369,-179.3631979261077,-2.4822940545223258,14.715624506098766,-178.90840769593584
2021-05-16 11:39:59.883492,1621154399.8834927,-3.5202654313895363,-5.846744452861974,-179.49475699609255,-2.2883856322755545,14.67023169932067,-179.09722955273827
2021-05-16 11:39:59.994417,1621154399.994417,-3.461871900632359,-5.814551328121848,-179.5061290651641,-2.2370300337876685,14.671319743204439,-179.25382382030693
2021-05-16 11:40:00.105302,1621154400.1053026,-3.4786249911215914,-5.87370775552465,-179.51615620404885,-2.30550473461777,14.603839228062204,-179.2643368489896
2021-05-16 11:40:00.216381,1621154400.2163818,-3.4139149831617375,-5.992989846898632,-179.5296522644213,-2.3721855612230653,14.532395869512243,-179.27496769449516
2021-05-16 11:40:00.326829,1621154400.3268292,-3.368368886660942,-5.937522116275034,-179.53965036204087,-2.3519663110847295,14.544320470290423,-179.40107313695913
2021-05-16 11:40:00.437722,1621154400.4377222,-3.417844632191465,-5.994791338358726,-179.5615118047529,-2.2931608043878113,14.490916041566566,-179.41077286647123
2021-05-16 11:40:00.548649,1621154400.5486493,-3.4384909412191025,-6.065818199097921,-179.58409620330707,-2.348108871059942,14.344573835116018,-179.39485238014774
2021-05-16 11:40:00.658482,1621154400.658483,-3.551199867535643,-5.979475434384505,-179.60408089134927,-2.427944850773227,14.375802099107343,-179.1470481643091
2021-05-16 11:40:00.770682,1621154400.770682,-3.4403363464317103,-5.924658987075563,-179.4992430960092,-2.3805006022051773,14.299718717608432,-178.8141367279171
2021-05-16 11:40:00.881518,1621154400.8815188,-3.369582177801373,-6.030776114917101,-179.39732395482258,-2.484230525989377,14.16146987096568,-178.56959458100474
2021-05-16 11:40:00.991105,1621154400.9911053,-3.4616274368544366,-5.96734287460868,-179.41885925919942,-2.616494152753766,14.237567175292254,-178.4346206840457
2021-05-16 11:40:01.103305,1621154401.1033056,-3.556678816028199,-5.953139684128463,-179.43605701650475,-2.787644598303557,14.166953776388304,-178.30178330378848
2021-05-16 11:40:01.214393,1621154401.2143936,-3.6478433095590588,-5.9416460313307855,-179.4603356707907,-2.8084889913271445,14.188831379887402,-178.3128074726247
