human_time,computer_time,x1,y1,z1,x2,y2,z2
2021-05-09 16:43:44.378496,1620567824.3784962,6.971538559171753,-14.573490209028645,-0.8328769239904857,6.971538559171753,-14.573490209028645,-0.8328769239904857
2021-05-09 16:43:44.488358,1620567824.4883583,7.039927077499098,-14.57555222385767,-1.080504024786681,7.039927077499098,-14.57555222385767,-1.080504024786681
2021-05-09 16:43:44.597648,1620567824.597648,7.374665987392571,-14.920188922647272,-1.2846311191577546,7.374665987392571,-14.920188922647272,-1.2846311191577546
2021-05-09 16:43:44.706556,1620567824.7075539,7.315074199845388,-15.02450095427723,-1.4190095167125936,7.315074199845388,-15.02450095427723,-1.4190095167125936
2021-05-09 16:43:44.816669,1620567824.8166692,7.42294791488258,-15.082292087365278,-1.566640206785009,7.42294791488258,-15.082292087365278,-1.566640206785009
2021-05-09 16:43:44.925902,1620567824.9259021,7.344223920718726,-14.992263258254264,-1.5717653882815494,7.344223920718726,-14.992263258254264,-1.5717653882815494
2021-05-09 16:43:45.035235,1620567825.0352356,7.328262268644635,-14.888172328281595,-1.7029984121812827,7.328262268644635,-14.888172328281595,-1.7029984121812827
2021-05-09 16:43:45.145669,1620567825.1456692,7.4188118944699974,-14.819028231836667,-1.8323292317984088,7.4188118944699974,-14.819028231836667,-1.8323292317984088
2021-05-09 16:43:45.255289,1620567825.2552898,7.727234720537115,-14.903726403992012,-2.1128358988789513,7.727234720537115,-14.903726403992012,-2.1128358988789513
2021-05-09 16:43:45.364881,1620567825.364882,7.843140698396311,-14.835911296970567,-2.0003295603189106,7.843140698396311,-14.835911296970567,-2.0003295603189106
2021-05-09 16:43:45.474387,1620567825.4743876,8.0128272509835,-14.813463024904467,-2.1215566682275533,8.0128272509835,-14.813463024904467,-2.1215566682275533
2021-05-09 16:43:45.584036,1620567825.584036,8.039671189559964,-14.857467328297577,-2.251384410916446,8.039671189559964,-14.857467328297577,-2.251384410916446
2021-05-09 16:43:45.693593,1620567825.6935935,8.096767529161285,-14.97087773364717,-2.2792665250626887,8.096767529161285,-14.97087773364717,-2.2792665250626887
2021-05-09 16:43:45.802933,1620567825.8029335,8.083059662658272,-14.833320259099384,-2.28713103922515,8.083059662658272,-14.833320259099384,-2.28713103922515
2021-05-09 16:43:45.912629,1620567825.9126298,7.861615651755425,-14.723270662604534,-2.1325989265328276,7.861615651755425,-14.723270662604534,-2.1325989265328276
2021-05-09 16:43:46.022344,1620567826.0223446,7.6604287361526096,-14.508269073645119,-1.874090959689937,7.6604287361526096,-14.508269073645119,-1.874090959689937
2021-05-09 16:43:46.131815,1620567826.1318157,7.470198840581649,-14.64557732449443,-1.8967148316656994,7.470198840581649,-14.64557732449443,-1.8967148316656994
2021-05-09 16:43:46.241701,1620567826.2417011,7.34751568761462,-14.846622394009424,-2.0596281089593007,7.34751568761462,-14.846622394009424,-2.0596281089593007
2021-05-09 16:43:46.351106,1620567826.3511064,7.400449453879731,-14.890661600396538,-2.4427745593972663,7.400449453879731,-14.890661600396538,-2.4427745593972663
2021-05-09 16:43:46.460675,1620567826.460675,7.545533122695045,-15.032919485273327,-2.600718334399794,7.545533122695045,-15.032919485273327,-2.600718334399794
